ID,Age,Height,Weight,Year,Event,F,M,Bronze,Gold,Silver,Medal_Earned,Olympic_Years,IEM,IEM_Bronze,IEM_Silver,IEM_Gold,ISM,ISM_Bronze,ISM_Silver,ISM_Gold,Opponents,OEM,OEM_Bronze,OEM_Silver,OEM_Gold,OSM,OSM_Bronze,OSM_Silver,OSM_Gold
43,34.0,185.0,75.0,1992,"Equestrianism Mixed Jumping, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
141,30.0,167.0,58.0,2016,"Equestrianism Mixed Three-Day Event, Individual",1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,7.0,3.0,1.0,3.0,7.0,3.0,1.0,3.0
713,26.0,173.0,73.0,1968,"Equestrianism Mixed Three-Day Event, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
713,30.0,173.0,73.0,1972,"Equestrianism Mixed Three-Day Event, Individual",0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
876,37.0,181.0,70.0,2008,"Equestrianism Mixed Three-Day Event, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0
1060,31.0,173.0,64.0,1972,"Equestrianism Mixed Dressage, Individual",1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
1093,25.0,171.0,62.0,2016,"Equestrianism Mixed Dressage, Individual",1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,1.0,4.0,2.0,7.0,1.0,4.0,2.0
1276,24.0,178.0,64.0,1976,"Equestrianism Mixed Jumping, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0
1356,29.0,189.0,80.0,2004,"Equestrianism Mixed Jumping, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1356,33.0,189.0,80.0,2008,"Equestrianism Mixed Jumping, Individual",0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0
