ID,Age,Height,Weight,Year,Event,F,M,Bronze,Gold,Silver,Medal_Earned,Olympic_Years,IEM,IEM_Bronze,IEM_Silver,IEM_Gold,ISM,ISM_Bronze,ISM_Silver,ISM_Gold,Opponents,OEM,OEM_Bronze,OEM_Silver,OEM_Gold,OSM,OSM_Bronze,OSM_Silver,OSM_Gold
90,21.0,163.0,60.0,2004,Cycling Women's Sprint,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,21.0,163.0,60.0,2004,Cycling Women's 500 metres Time Trial,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,22.0,165.0,65.0,2000,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,4.0,2.0,2.0,0.0,8.0,3.0,5.0,0.0
149,30.0,163.0,52.0,2016,"Cycling Women's Road Race, Individual",1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,5.0,2.0,2.0,1.0,10.0,3.0,3.0,4.0
177,23.0,174.0,69.0,2000,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,4.0,2.0,2.0,0.0,8.0,3.0,5.0,0.0
295,29.0,174.0,55.0,1972,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,24.0,174.0,72.0,1988,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,32.0,174.0,72.0,1996,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0
375,18.0,168.0,60.0,1984,"Cycling Women's Road Race, Individual",1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,31.0,175.0,67.0,2000,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,4.0,2.0,2.0,0.0,8.0,3.0,5.0,0.0
380,22.0,173.0,62.0,1992,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,28.0,170.0,64.0,1968,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,28.0,170.0,64.0,1968,Cycling Men's Sprint,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
469,28.0,170.0,64.0,1968,"Cycling Men's 1,000 metres Time Trial",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
469,28.0,170.0,64.0,1968,"Cycling Men's Individual Pursuit, 4,000 metres",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
469,32.0,170.0,64.0,1972,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,32.0,170.0,64.0,1972,"Cycling Men's Individual Pursuit, 4,000 metres",0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
552,32.0,180.0,70.0,1988,Cycling Men's Sprint,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0
571,24.0,177.0,71.0,1996,"Cycling Men's Road Race, Individual",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0
575,22.0,162.0,50.0,2012,"Cycling Women's Mountainbike, Cross-Country",1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0
