ID,Age,Height,Weight,Year,Event,F,M,Bronze,Gold,Silver,Medal_Earned,Olympic_Years,IEM,IEM_Bronze,IEM_Silver,IEM_Gold,ISM,ISM_Bronze,ISM_Silver,ISM_Gold,Opponents,OEM,OEM_Bronze,OEM_Silver,OEM_Gold,OSM,OSM_Bronze,OSM_Silver,OSM_Gold
23,22.0,187.0,89.0,2000,"Wrestling Men's Light-Heavyweight, Greco-Roman",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0
23,26.0,187.0,89.0,2004,"Wrestling Men's Light-Heavyweight, Greco-Roman",0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0
50,22.0,185.0,106.0,1992,"Wrestling Men's Heavyweight, Freestyle",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0
50,26.0,185.0,106.0,1996,"Wrestling Men's Heavyweight, Freestyle",0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0
84,26.0,165.0,55.0,2004,"Wrestling Men's Featherweight, Freestyle",0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
87,29.0,188.0,97.0,1964,"Wrestling Men's Light-Heavyweight, Greco-Roman",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,22.0,185.0,98.0,2000,"Wrestling Men's Light-Heavyweight, Greco-Roman",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0
155,26.0,185.0,98.0,2004,"Wrestling Men's Light-Heavyweight, Greco-Roman",0,1,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0
155,34.0,185.0,98.0,2012,"Wrestling Men's Heavyweight, Greco-Roman",0,1,0,0,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,28.0,172.0,68.0,1988,"Wrestling Men's Lightweight, Greco-Roman",0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
